==================================================================================================
                      Magnetopause Position Analysis
==================================================================================================
 Time(min)  Nose_Dist(Re)  Subsolar_Dist(Re)  Nose_X(Re)   Nose_Y(Re)   Nose_Z(Re)  Deviation(Re)
    293.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    294.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    295.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    296.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    297.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    298.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    299.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    300.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    301.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    302.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    303.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    304.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    305.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    306.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    307.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    308.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    309.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    310.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    311.00          8.7864          9.4000          6.6000          0.0000          5.8000          5.8000
    312.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    313.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    314.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    315.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    316.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    317.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    318.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    319.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    320.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    321.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    322.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    323.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    324.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    325.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    326.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    327.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    328.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    329.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    330.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    331.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    332.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    333.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    334.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    335.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    336.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    337.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    338.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    339.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    340.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    341.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    342.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    343.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    344.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    345.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    346.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    347.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    348.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    349.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    350.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    351.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    352.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    353.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    354.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    355.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    356.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    357.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    358.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    359.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
    360.00          8.7681          9.4000          6.2000          0.0000          6.2000          6.2000
